玛修·基列莱特 : Shielder
卫宫〔Alter〕 : Archer
海森·罗伯 : Avenger
燕青 : Assassin
亚瑟·潘德拉贡〔Prototype〕 : Saber
土方岁三 : Berserker
茶茶 : Berserker
梅尔特莉莉丝（溶解莉莉丝） : Alterego
帕森莉普（热情迷唇） : Alterego
铃鹿御前 : Saber
ＢＢ : MoonCancer
杀生院祈荒 : Alterego
BeastⅢ／R :
山鲁佐德 : Caster
武则天 : Assassin
彭忒西勒亚 : Berserker
克里斯托弗·哥伦布 : Rider
夏洛克·福尔摩斯 : Ruler
保罗·班扬 : Berserker
尼禄·克劳狄乌斯〔Caster〕 : Caster
弗兰肯斯坦〔Saber〕 : Saber
尼托克丽丝〔Assassin〕 : Assassin
织田信长〔Berserker〕 : Berserker
阿尔托莉雅·潘德拉贡〔Maid Alter〕 : Rider
海伦娜·布拉瓦茨基〔Archer〕 : Archer
源赖光〔Lancer〕 : Lancer
伊修塔尔〔Rider〕 : Rider
帕尔瓦蒂 : Lancer
巴御前 : Archer
望月千代女 : Assassin
宝藏院胤舜 : Lancer
柳生但马守宗矩 : Saber
加藤段藏 : Assassin
刑部姬 : Assassin
机械伊丽酱 : Alterego
机械伊丽酱Ⅱ号机 : Alterego
喀耳刻 : Caster
哪吒 : Lancer
示巴女王 : Caster
阿比盖尔·威廉姆斯 : Foreigner
艾蕾什基伽尔 : Lancer
阿提拉·the·圣〔诞〕 : Archer
葛饰北斋 : Foreigner
赛米拉米斯 : Assassin
浅上藤乃 : Archer
阿纳斯塔西娅 : Caster
阿塔兰忒〔Alter〕 : Berserker
阿维斯布隆 : Caster
安东尼奥·萨列里 : Avenger
伊凡雷帝 : Rider
阿喀琉斯 : Rider
喀戎 : Archer
齐格 : Caster
冲田总司〔Alter〕 : Alterego
冈田以藏 : Assassin
坂本龙马 : Rider
拿破仑 : Archer
齐格鲁德 : Saber
瓦尔基里 : Lancer
斯卡哈=丝卡蒂 : Caster
贞德〔Archer〕 : Archer
茨木童子〔Lancer〕 : Lancer
牛若丸〔Assassin〕 : Assassin
贞德〔Alter〕（Berserker） : Berserker
ＢＢ : MoonCancer
女王梅芙〔Saber〕 : Saber
谜之女主角XX : Foreigner
迪尔姆德·奥迪纳〔Saber〕 : Saber
志度内 : Alterego
酒吞童子〔Caster〕 : Caster
项羽 : Berserker
兰陵王 : Saber
秦良玉 : Lancer
始皇帝 : Ruler
虞美人 : Assassin
赤兔马 : Rider
布拉达曼特 : Lancer
魁札尔·科亚特尔〔Samba／Santa〕 : Ruler
